DATAFLOW,FREQ,REF_AREA,DATA_TYPE_AGGR,VALUATION,ADJUSTMENT,EDITION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE_AGGR,NOTE_VALUATION,NOTE_ADJUSTMENT,NOTE_EDITION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2022M12,2016,1508257.3,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2022M12,2017,1532443.1,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2022M12,2018,1546749.4,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2022M12,2019,1554314.7,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2022M12,2020,1423114.1,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2022M12,2021,1518078.1,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2023M12,2013,1474417.6,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2023M12,2014,1475207.6,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2023M12,2015,1488049,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2023M12,2016,1508257.3,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2023M12,2017,1532443.1,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2023M12,2018,1546749.4,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2023M12,2019,1554314.7,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2023M12,2020,1424034.7,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2023M12,2021,1538967.1,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2023M12,2022,1595832.3,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2020M1,2016,1522917.1,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__V_N3,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2020M1,2017,1557832.8,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__V_N3,,,,EURO,6
